id,key,value,type
11644784,access,private,unspecified
11644784,highway,service,unspecified
11644784,cfcc,A74,tiger
11644784,tlid,66305848:66305849,tiger
11644784,source,tiger_import_dch_v0.7_20071109,tiger
11644784,reviewed,no,tiger
11645867,access,private,unspecified
11645867,highway,service,unspecified
11645867,cfcc,A74,tiger
11645867,tlid,66311728,tiger
11645867,source,tiger_import_dch_v0.7_20071109,tiger
11645867,reviewed,no,tiger
11651492,highway,residential,unspecified
11651492,cfcc,A41,tiger
11651492,tlid,66318268,tiger
11651492,source,tiger_import_dch_v0.7_20071109,tiger
11651492,reviewed,no,tiger
11651492,separated,no,tiger
11651881,name,Davis Avenue,unspecified
11651881,highway,residential,unspecified
11651881,cfcc,A41,tiger
11651881,reviewed,no,tiger
11651881,zip_left,15120,tiger
11651881,name_base,Davis,tiger
11651881,name_type,Ave,tiger
11651881,zip_right,15120,tiger
11652187,access,private,unspecified
11652187,highway,service,unspecified
11652187,cfcc,A74,tiger
11652187,tlid,51935408,tiger
11652187,source,tiger_import_dch_v0.7_20071109,tiger
11652187,reviewed,no,tiger
11652392,access,private,unspecified
11652392,highway,service,unspecified
11652392,cfcc,A74,tiger
11652392,tlid,66289416:66289102,tiger
11652392,source,tiger_import_dch_v0.7_20071109,tiger
11652392,reviewed,no,tiger
11652636,name,William Pitt Way,unspecified
11652636,highway,residential,unspecified
11652636,cfcc,A41,tiger
11652636,reviewed,no,tiger
11652868,name,West General Robinson Street,unspecified
11652868,lanes,4,unspecified
11652868,oneway,reversible,unspecified
11652868,highway,tertiary,unspecified
11652868,cfcc,A41,tiger
11652868,zip_left,15212,tiger
11652868,name_base,General Robinson,tiger
11652868,name_type,St,tiger
11652868,zip_right,15212,tiger
11652868,name_direction_prefix,W,tiger
11653098,highway,residential,unspecified
11653098,cfcc,A41,tiger
11653098,tlid,51668114,tiger
11653098,source,tiger_import_dch_v0.7_20071109,tiger
11653098,reviewed,no,tiger
11653098,separated,no,tiger
11653254,access,private,unspecified
11653254,highway,service,unspecified
11653254,cfcc,A74,tiger
11653254,tlid,66311739,tiger
11653254,source,tiger_import_dch_v0.7_20071109,tiger
11653254,reviewed,no,tiger
11653536,highway,residential,unspecified
11653536,cfcc,A41,tiger
11653536,reviewed,no,tiger
11653788,highway,residential,unspecified
11653788,cfcc,A41,tiger
11653788,tlid,51818831,tiger
11653788,source,tiger_import_dch_v0.7_20071109,tiger
11653788,reviewed,no,tiger
11653788,separated,no,tiger
11654053,lcn,yes,unspecified
11654053,foot,yes,unspecified
11654053,name,Pocusset Drive,unspecified
11654053,bicycle,yes,unspecified
11654053,highway,path,unspecified
11654053,surface,paved,unspecified
11654053,cfcc,A41,tiger
11654053,reviewed,no,tiger
11654279,name,Waldwick Drive,unspecified
11654279,lanes,2,unspecified
11654279,highway,residential,unspecified
11654279,cfcc,A41,tiger
11656877,highway,service,unspecified
11656877,service,alley,unspecified
11656877,cfcc,A73,tiger
11656877,reviewed,no,tiger
11657116,access,private,unspecified
11657116,highway,service,unspecified
11657116,cfcc,A74,tiger
11657116,tlid,66309794:66309795,tiger
11657116,source,tiger_import_dch_v0.7_20071109,tiger
11657116,reviewed,no,tiger
11657438,comment,I think it is called Murdoch *Street* here; Murdoch Road is a bit further north and disconnected.,unspecified
11657438,highway,residential,unspecified
11657438,name,Murdoch Road,unspecified
11657438,cfcc,A41,tiger
11657438,name_base,Murdoch,tiger
11657438,name_type,Rd,tiger
11657438,reviewed,no,tiger
11657438,zip_left,15217,tiger
11657438,zip_right,15217,tiger
11668472,highway,service,unspecified
11668472,cfcc,A73,tiger
11668472,tlid,51682137,tiger
11668472,source,tiger_import_dch_v0.7_20071109,tiger
11668472,reviewed,no,tiger
11668845,access,private,unspecified
11668845,highway,service,unspecified
11668845,cfcc,A74,tiger
11668845,tlid,51932198,tiger
11668845,source,tiger_import_dch_v0.7_20071109,tiger
11668845,reviewed,no,tiger
11669156,access,private,unspecified
11669156,highway,service,unspecified
11669156,cfcc,A74,tiger
11669156,tlid,66289426:66289098,tiger
11669156,source,tiger_import_dch_v0.7_20071109,tiger
11669156,reviewed,no,tiger
11669521,access,private,unspecified
11669521,highway,service,unspecified
11669521,service,driveway,unspecified
11669521,cfcc,A41,tiger
11669521,reviewed,no,tiger
11669776,highway,residential,unspecified
11669776,cfcc,A41,tiger
11669776,reviewed,no,tiger
11670220,access,private,unspecified
11670220,highway,service,unspecified
11670220,cfcc,A74,tiger
11670220,tlid,51604805,tiger
11670220,source,tiger_import_dch_v0.7_20071109,tiger
11670220,reviewed,no,tiger
11670479,highway,residential,unspecified
11670479,cfcc,A41,tiger
11670479,tlid,51811996,tiger
11670479,source,tiger_import_dch_v0.7_20071109,tiger
11670479,reviewed,no,tiger
11670479,separated,no,tiger
11670774,access,private,unspecified
11670774,highway,service,unspecified
11670774,cfcc,A74,tiger
11670774,tlid,51697811,tiger
11670774,source,tiger_import_dch_v0.7_20071109,tiger
11670774,reviewed,no,tiger
11671113,access,private,unspecified
11671113,highway,service,unspecified
11671113,cfcc,A74,tiger
11671113,tlid,51662256:51662258,tiger
11671113,source,tiger_import_dch_v0.7_20071109,tiger
11671113,reviewed,no,tiger
11671361,access,private,unspecified
11671361,highway,service,unspecified
11671361,cfcc,A74,tiger
11671361,tlid,66284480:66284456,tiger
11671361,source,tiger_import_dch_v0.7_20071109,tiger
11671361,reviewed,no,tiger
11671695,access,private,unspecified
11671695,highway,service,unspecified
11671695,cfcc,A74,tiger
11671695,tlid,51712585,tiger
11671695,source,tiger_import_dch_v0.7_20071109,tiger
11671695,reviewed,no,tiger
11672008,highway,service,unspecified
11672008,service,alley,unspecified
11672008,cfcc,A41,tiger
11672008,reviewed,no,tiger
11672398,highway,service,unspecified
11672398,cfcc,A41,tiger
11672398,reviewed,no,tiger
11672765,name,Cherry Avenue,unspecified
11672765,highway,residential,unspecified
11672765,cfcc,A41,tiger
11672765,tlid,51681192,tiger
11672765,name,extrapolation,source
11672765,source,tiger_import_dch_v0.7_20071109,tiger
11672765,reviewed,no,tiger
11672765,separated,no,tiger
11673385,lanes,1,unspecified
11673385,oneway,yes,unspecified
11673385,highway,motorway_link,unspecified
11673385,cfcc,A63,tiger
11673385,advisory,25 mph,maxspeed
11674242,highway,residential,unspecified
11674242,cfcc,A41,tiger
11674242,reviewed,no,tiger
11674709,highway,service,unspecified
11674709,cfcc,A73,tiger
11674709,tlid,51690133,tiger
11674709,source,tiger_import_dch_v0.7_20071109,tiger
11674709,reviewed,no,tiger
11678389,name,345kV transmission line,unspecified
11678389,power,line,unspecified
11678389,voltage,345000,unspecified
11678389,cfcc,C20,tiger
11678701,highway,residential,unspecified
11678701,cfcc,A41,tiger
11678701,reviewed,no,tiger
11679076,access,private,unspecified
11679076,highway,service,unspecified
11679076,cfcc,A74,tiger
11679076,tlid,51813449,tiger
11679076,source,tiger_import_dch_v0.7_20071109,tiger
11679076,reviewed,no,tiger
11679368,highway,service,unspecified
11679368,cfcc,A41,tiger
11679368,reviewed,no,tiger
11679631,access,private,unspecified
11679631,highway,service,unspecified
11679631,cfcc,A74,tiger
11679631,tlid,66323500:66323501,tiger
11679631,source,tiger_import_dch_v0.7_20071109,tiger
11679631,reviewed,no,tiger
11679797,highway,residential,unspecified
11679797,cfcc,A41,tiger
11679797,tlid,51681913:51681914,tiger
11679797,source,tiger_import_dch_v0.7_20071109,tiger
11679797,reviewed,no,tiger
11679797,separated,no,tiger
11679998,access,private,unspecified
11679998,highway,service,unspecified
11679998,cfcc,A74,tiger
11679998,tlid,51713919,tiger
11679998,source,tiger_import_dch_v0.7_20071109,tiger
11679998,reviewed,no,tiger
11680271,highway,residential,unspecified
11680271,cfcc,A41,tiger
11680271,tlid,51682219,tiger
11680271,source,tiger_import_dch_v0.7_20071109,tiger
11680271,reviewed,no,tiger
11680271,separated,no,tiger
11680445,highway,residential,unspecified
11680445,cfcc,A41,tiger
11680445,tlid,51716502,tiger
11680445,source,tiger_import_dch_v0.7_20071109,tiger
11680445,reviewed,no,tiger
11680445,separated,no,tiger
11680695,access,private,unspecified
11680695,highway,service,unspecified
11680695,cfcc,A74,tiger
11680695,reviewed,no,tiger
11680865,access,private,unspecified
11680865,highway,service,unspecified
11680865,cfcc,A74,tiger
11680865,tlid,51711749,tiger
11680865,source,tiger_import_dch_v0.7_20071109,tiger
11680865,reviewed,no,tiger
11681125,access,private,unspecified
11681125,highway,service,unspecified
11681125,cfcc,A74,tiger
11681125,tlid,51712177,tiger
11681125,source,tiger_import_dch_v0.7_20071109,tiger
11681125,reviewed,no,tiger
11681353,name,Beechview Line,unspecified
11681353,gauge,1588,unspecified
11681353,tracks,2,unspecified
11681353,railway,light_rail,unspecified
11681353,voltage,650,unspecified
11681353,operator,Port Authority,unspecified
11681353,frequency,0,unspecified
11681353,electrified,contact_line,unspecified
11681353,reviewed,no,tiger
11681620,lanes,1,unspecified
11681620,access,private,unspecified
11681620,highway,service,unspecified
11681620,service,driveway,unspecified
11681620,cfcc,A74,tiger
11681620,reviewed,no,tiger
11681847,highway,service,unspecified
11681847,created_by,Potlatch 0.10f,unspecified
11681847,cfcc,A73,tiger
11681847,tlid,51693641,tiger
11681847,source,tiger_import_dch_v0.7_20071109,tiger
11681847,reviewed,no,tiger
11682066,highway,residential,unspecified
11682066,cfcc,A41,tiger
11682066,tlid,51663051,tiger
11682066,source,tiger_import_dch_v0.7_20071109,tiger
11682066,reviewed,no,tiger
11682066,separated,no,tiger
